Date & Time     , T(C)  , H(%) 
2024/4/9 15:0:0 , 21.30 , 60.0
2024/4/9 15:30:0 , 21.40 , 61.0
2024/4/9 16:0:0 , 21.10 , 62.0
2024/4/9 16:30:0 , 21.20 , 63.0
2024/4/9 17:0:0 , 21.0 , 63.0
2024/4/9 17:30:0 , 20.90 , 62.0
2024/4/9 18:0:0 , 20.80 , 62.0
2024/4/9 18:30:0 , 20.90 , 64.0
2024/4/9 19:0:0 , 20.90 , 63.0
2024/4/9 19:30:0 , 20.80 , 57.0
2024/4/9 20:0:0 , 20.70 , 59.0
2024/4/9 20:30:0 , 20.60 , 62.0
2024/4/9 21:0:0 , 20.60 , 62.0
2024/4/9 21:30:0 , 20.70 , 62.0
2024/4/9 22:0:0 , 20.80 , 61.0
2024/4/9 22:30:0 , 20.80 , 63.0
2024/4/9 23:0:0 , 20.70 , 62.0
2024/4/9 23:30:0 , 20.50 , 62.0
2024/4/10 0:0:0 , 20.20 , 65.0
2024/4/10 0:30:0 , 20.0 , 66.0
2024/4/10 1:0:0 , 20.0 , 65.0
2024/4/10 1:30:0 , 20.0 , 66.0
2024/4/10 2:0:0 , 19.90 , 67.0
2024/4/10 2:30:0 , 19.80 , 69.0
2024/4/10 3:0:0 , 19.60 , 68.0
2024/4/10 3:30:0 , 19.40 , 69.0
2024/4/10 4:0:0 , 19.40 , 69.0
2024/4/10 4:30:0 , 19.30 , 67.0
2024/4/10 5:0:0 , 19.20 , 66.0
2024/4/10 5:30:0 , 19.10 , 65.0
2024/4/10 6:0:0 , 19.10 , 66.0
2024/4/10 6:30:0 , 19.0 , 64.0
2024/4/10 7:0:0 , 19.10 , 64.0
2024/4/10 7:30:0 , 19.40 , 64.0
2024/4/10 8:0:0 , 19.60 , 66.0
2024/4/10 8:30:0 , 19.70 , 66.0
2024/4/10 9:0:0 , 20.0 , 65.0
2024/4/10 9:30:0 , 20.40 , 65.0
2024/4/10 10:0:0 , 20.60 , 64.0
2024/4/10 10:30:0 , 20.90 , 63.0
2024/4/10 11:0:0 , 20.90 , 63.0
2024/4/10 11:30:0 , 21.30 , 64.0
2024/4/10 12:0:0 , 21.30 , 64.0
2024/4/10 12:30:0 , 21.50 , 64.0
2024/4/10 13:0:0 , 21.30 , 65.0
2024/4/10 13:30:0 , 21.10 , 65.0
2024/4/10 14:0:0 , 21.10 , 66.0
2024/4/10 14:30:0 , 21.0 , 67.0
2024/4/10 15:0:0 , 21.0 , 69.0
2024/4/10 15:30:0 , 21.20 , 70.0
2024/4/10 16:0:0 , 21.20 , 69.0
2024/4/10 16:30:0 , 21.20 , 71.0
2024/4/10 17:0:0 , 21.20 , 71.0
2024/4/10 17:30:0 , 21.10 , 70.0
